Player,Role,Specific_Role,Nationality,Bowling_Style,Auction_Price,Power_Index,Batting_SR,Batting_Avg,Bw_WPM,Bowling_Econ
RD Chahar,Bowler,,,,0.9,5.78,84.0,7.0,0.75,8.068548387096774
C Sakariya,Bowler,,,,0.9,5.78,66.66666666666666,4.0,1.0,9.72972972972973
A Nortje,Bowler,,,,0.9,5.69,107.89473684210526,10.25,1.0,9.839449541284404
Mohsin Khan,Bowler,,,,0.8,5.55,25.0,2.0,0.9285714285714286,9.528239202657808
Rasikh Salam,Bowler,,,,0.8,5.43,93.33333333333333,9.333333333333334,1.0,10.144329896907216
KM Asif,Bowler,,,,0.8,5.41,0.0,0.0,0.75,8.505494505494505
Arjun Tendulkar,Bowler,,,,0.8,5.39,144.44444444444443,13.0,0.6,7.518072289156627
M Siddharth,Bowler,,,,0.8,5.17,0.0,0.0,0.6,7.782178217821782
AS Joseph,Bowler,,,,0.8,5.12,58.333333333333336,7.0,0.8,9.16822429906542
Suyash Sharma,Bowler,,,,0.8,5.0,0.0,0.0,0.6666666666666666,8.425307557117751
Yudhvir Singh,Bowler,,,,0.7,4.91,137.5,7.333333333333333,0.8888888888888888,10.013793103448275
Swapnil Singh,Bowler,,,,0.7,4.85,150.0,19.5,0.6666666666666666,8.596153846153847
RJ Gleeson,Bowler,,,,0.7,4.82,100.0,2.0,0.6666666666666666,8.63013698630137
AS Roy,Bowler,,,,0.7,4.76,113.04347826086956,8.666666666666666,0.5714285714285714,8.072727272727272
K Kartikeya,Bowler,,,,0.7,4.59,75.0,4.5,0.5833333333333334,8.349056603773585
Simarjeet Singh,Bowler,,,,0.7,4.38,42.857142857142854,1.5,0.875,10.531468531468532
RJW Topley,Bowler,,,,0.6,4.25,50.0,3.0,0.8333333333333334,10.416
Zeeshan Ansari,Bowler,,,,0.6,3.79,0.0,0.0,0.6,9.38755980861244
UT Yadav,Bowler,,,,0.5,3.57,88.57142857142857,10.333333333333334,0.6,9.648979591836735
Prince Yadav,Bowler,,,,0.5,3.48,45.45454545454545,5.0,0.5,9.083333333333332
SH Johnson,Bowler,,,,0.5,3.33,72.72727272727273,8.0,0.5555555555555556,9.627906976744185
JO Holder,Bowler,,,,0.5,3.12,100.0,6.0,0.5,9.511363636363637
XC Bartlett,Bowler,,,,0.5,3.04,73.33333333333333,11.0,0.5,9.600000000000001
V Viyaskanth,Bowler,,,,0.4,2.95,140.0,7.0,0.3333333333333333,8.6
Umran Malik,Bowler,,,,0.4,2.91,237.5,19.0,0.5555555555555556,10.122137404580153
CJ Jordan,Bowler,,,,0.4,2.89,46.15384615384615,3.0,0.5,9.771428571428572
HR Shokeen,Bowler,,,,0.4,2.86,121.05263157894737,23.0,0.375,8.974789915966387
Mohammad Nabi,Bowler,,,,0.4,2.74,112.90322580645163,11.666666666666666,0.3333333333333333,8.837837837837839
Akash Deep,Bowler,,,,0.4,2.57,208.33333333333334,12.5,0.5555555555555556,10.524590163934427
Mayank Dagar,Bowler,,,,0.4,2.46,0.0,0.0,0.25,8.608695652173912
PVD Chameera,Bowler,,,,0.4,2.34,71.42857142857143,10.0,0.5714285714285714,10.892307692307693
MJ Henry,Bowler,,,,0.4,2.34,0.0,0.0,0.25,8.756756756756756
Fazalhaq Farooqi,Bowler,,,,0.3,2.32,42.857142857142854,3.0,0.4444444444444444,10.073684210526315
R Dhawan,Bowler,,,,0.2,1.63,166.66666666666669,20.0,0.2,9.245901639344261
KT Maphaka,Bowler,,,,0.2,1.28,266.66666666666663,8.0,0.5,11.661971830985916
Kartik Tyagi,Bowler,,,,0.2,0.0,0.0,0.0,0.25,11.485714285714286
